Дата выдачи,Подразделение,Контракт,Sum of Первоначальная сумма займа,Sum of Ежемесячный платеж,Sum of Кол-во дней просрочки (фактическое),Кредитный продукт
2021-03-29 00:00:00,Тойота Центр Уральск,12603210043,14972712,356905,4,ПВ 10%+ /Срок 12-60 м. Даму
2021-03-29 00:00:00,Тойота Центр Шымкент,12603210084,14526369,332439,59,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2021-09-23 00:00:00,Тойота Сити,12603210100R01,7300000,58576,1,ПВ 40%+ / Срок 12-84 мес БПД
2022-03-29 00:00:00,Тойота Сити,12603210266R01,9600079,271371,1,ПВ 40%+ / Срок 12-84 м. БПД
2021-04-27 00:00:00,Lexus Astana,12604210018,14035838,404354,3,КАСКО ПВ 40-65%-БПД
2022-04-27 00:00:00,Тойота Центр Актау,12604220330,20941500,587800,3,Easy Toyota/Lexus  ПВ 20-50%/ Срок 24 мес Удерж.
2022-05-15 00:00:00,Тойота Центр Кызылорда,12605200067R01,10242000,213951,1,Стандарт с КАСКО ПВ 40% + / Cрок 60 мес-БПД
2022-05-27 00:00:00,Lexus Astana,12605220362,16258832,20210758,35,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-05-30 00:00:00,Тойота Центр Уральск,12605220453,14088371,378234,1,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2023-05-29 00:00:00,Exeed Almaty,12605230213,8914753,292673,1,Стандарт с КАСКО / ПВ 20%+ / Срок 84м РД / АСП / 03_23
2020-07-02 00:00:00,Тойота Сити,12606200314,9420000,301820,4,ПВ 40%+ / Срок 60 м. НА-БП
2022-06-27 00:00:00,Тойота Сити,12606210032R01,12380050,432525,4,ПВ 20-39.9% / Срок 12-84
2022-07-02 00:00:00,Тойота Сити Астана,12606210123R01,22209860,393838,1,ПВ 20-39.9% / Срок 12-84
2023-06-14 00:00:00,Тойота Центр Алматы,12607220212R02,8133300,208518,1,ПВ 40%+ / Срок 12-84 м. БПД
2022-07-27 00:00:00,Тойота Сити Астана,12607220311,16098750,617534,1,ПВ 20%+ Toyota/Lexus / Срок 12-84 Удерж.
2020-08-28 00:00:00,Тойота Центр Актобе,12608200056,7811377,278203,2,Comfort 24 КАСКО ПВ 40-65% Н/А
2021-08-31 00:00:00,Тойота Центр Актобе,12608210188,13519357,367544,3,КАСКО ПВ 30-39.9% 36
2023-01-07 00:00:00,Тойота Центр Астана,12608220450R01,8758625,297716,4,ПВ 40%+ / Срок 12-84 м. БПД
2023-05-29 00:00:00,Тойота Центр Астана,1260918017R06,9272620,264444,1,RAV4 ПВ 30-39.9%-БПД
2022-09-28 00:00:00,Тойота Центр Қостанай,12609220129,41625763,779384,4,Easy Flex ПВ 20%+/ Срок 12 мес
2022-10-07 00:00:00,Тойота Центр Қостанай,12609220210,6733020,148578,140,Easy Flex ПВ 20%+/  Срок 12 мес
2022-09-27 00:00:00,Тойота Центр Алматы,12609220285,4477470,134766,3,Стандарт с КАСКО ПВ 20%+ /12-84 м/ Без забот
